epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.751,1.63444,4.476,1.34069,0,0,0,0,1.32471,4.51606,1.26263,3.808e-05,3.808e-05,3.808e-05
2,229.222,1.40815,4.22764,1.19662,0.06408,0.06223,0.06452,0.04972,1.18793,4.35236,1.13835,7.93178e-05,7.93178e-05,7.93178e-05
3,335.457,1.33735,3.84662,1.13338,0.02943,0.12177,0.0661,0.04089,1.24433,4.17579,1.13042,0.000118859,0.000118859,0.000118859
4,433.247,1.30472,3.31432,1.12137,0.06251,0.27903,0.12155,0.08173,1.21426,3.86944,1.12617,0.000156704,0.000156704,0.000156704
5,528.621,1.27688,2.79308,1.09848,0.90012,0.11626,0.24701,0.17186,1.21657,3.3007,1.1529,0.000192852,0.000192852,0.000192852
6,631.621,1.25242,2.39697,1.08779,0.8955,0.21278,0.35341,0.24993,1.21614,2.92084,1.16379,0.000227304,0.000227304,0.000227304
7,734.459,1.23275,2.18873,1.06239,0.87028,0.23504,0.42263,0.30151,1.20963,2.70063,1.16159,0.00026006,0.00026006,0.00026006
8,824.403,1.21042,1.88808,1.05208,0.77149,0.3278,0.46772,0.32483,1.23163,2.48999,1.16587,0.000291119,0.000291119,0.000291119
9,933.505,1.2206,1.73989,1.04376,0.74582,0.41645,0.49697,0.33125,1.2359,2.27683,1.15925,0.000320481,0.000320481,0.000320481
10,1055.26,1.18407,1.56583,1.03227,0.70812,0.41098,0.50788,0.33822,1.22311,2.19227,1.15935,0.000348147,0.000348147,0.000348147
11,1171.3,1.23686,1.52633,1.04102,0.7441,0.48835,0.53776,0.34987,1.23482,1.96456,1.1576,0.000374117,0.000374117,0.000374117
12,1284,1.10285,1.30182,0.99928,0.70599,0.56706,0.58982,0.39847,1.18813,1.64898,1.13942,0.000372327,0.000372327,0.000372327
13,1385.32,1.09803,1.28073,1.00222,0.60303,0.58497,0.59249,0.40935,1.15823,1.44138,1.12946,0.000362902,0.000362902,0.000362902
14,1475.34,1.0948,1.18337,1.00688,0.61448,0.57124,0.59185,0.40919,1.14983,1.40142,1.12886,0.000353478,0.000353478,0.000353478
15,1567.18,1.09141,1.13348,1.00931,0.63799,0.60162,0.60049,0.41543,1.14124,1.34094,1.13377,0.000344053,0.000344053,0.000344053
16,1659.11,1.07311,1.10364,1.00016,0.6237,0.63437,0.61523,0.41997,1.12938,1.25222,1.13642,0.000334628,0.000334628,0.000334628
17,1756.22,1.09517,1.09363,1.01139,0.61773,0.63488,0.62931,0.42981,1.1162,1.28045,1.13409,0.000325203,0.000325203,0.000325203
18,1857.64,1.06184,1.04629,0.99482,0.63621,0.6204,0.62998,0.43344,1.09322,1.22537,1.12696,0.000315778,0.000315778,0.000315778
19,1957.58,1.05766,1.03089,0.99832,0.66455,0.64244,0.64034,0.43517,1.10404,1.17237,1.11692,0.000306354,0.000306354,0.000306354
20,2051.77,1.04758,1.03149,0.98494,0.67554,0.67902,0.64981,0.44632,1.09637,1.19288,1.10877,0.000296929,0.000296929,0.000296929
21,2154.72,1.06243,0.9985,0.99492,0.70351,0.68077,0.67752,0.46294,1.07973,1.15353,1.10703,0.000287504,0.000287504,0.000287504
22,2256.84,1.03901,0.98687,0.99715,0.72576,0.70329,0.69031,0.4712,1.08428,1.1141,1.10511,0.000278079,0.000278079,0.000278079
23,2370.98,1.00503,0.94338,0.97746,0.75305,0.70368,0.69137,0.47227,1.09962,1.11683,1.10534,0.000268654,0.000268654,0.000268654
24,2494.64,1.05306,1.00113,0.98859,0.72611,0.71382,0.69187,0.47777,1.07526,1.08789,1.09425,0.00025923,0.00025923,0.00025923
25,2626.28,0.96821,0.90869,0.97075,0.74,0.72073,0.70143,0.48569,1.07278,1.0647,1.08728,0.000249805,0.000249805,0.000249805
26,2751.33,0.97214,0.89432,0.96145,0.75499,0.71846,0.71341,0.48997,1.07211,1.06321,1.08707,0.00024038,0.00024038,0.00024038
27,2894.83,0.98677,0.89231,0.96386,0.76053,0.73772,0.71541,0.49114,1.06953,1.05961,1.08468,0.000230955,0.000230955,0.000230955
28,3049.51,0.96853,0.84777,0.95282,0.75637,0.73393,0.70428,0.4794,1.07042,1.05767,1.0823,0.00022153,0.00022153,0.00022153
29,3185.4,0.9722,0.89682,0.95738,0.75537,0.7346,0.70885,0.4809,1.06252,1.0456,1.08568,0.000212106,0.000212106,0.000212106
30,3321.54,0.97736,0.86393,0.95873,0.77201,0.71328,0.71946,0.48999,1.06107,1.04225,1.07734,0.000202681,0.000202681,0.000202681
31,3443.65,0.96245,0.8467,0.95907,0.77812,0.72279,0.72192,0.49106,1.0755,1.03433,1.07956,0.000193256,0.000193256,0.000193256
32,3548.07,1.02608,0.87915,0.96621,0.77501,0.72758,0.71751,0.49348,1.06504,1.02016,1.08494,0.000183831,0.000183831,0.000183831
33,3649.68,0.98419,0.85588,0.95059,0.76189,0.74705,0.71501,0.49235,1.06687,1.01374,1.0884,0.000174406,0.000174406,0.000174406
34,3763.15,0.94991,0.83626,0.96773,0.75945,0.76563,0.72137,0.49911,1.06664,1.00194,1.08592,0.000164982,0.000164982,0.000164982
35,3864.88,0.96378,0.83883,0.95963,0.76579,0.75662,0.72884,0.50577,1.07028,1.00608,1.07953,0.000155557,0.000155557,0.000155557
36,3974.94,0.97525,0.87024,0.96288,0.77341,0.75018,0.73024,0.50978,1.04677,1.00295,1.07158,0.000146132,0.000146132,0.000146132
37,4074.13,0.95741,0.84001,0.96122,0.77084,0.75381,0.72634,0.50666,1.04846,0.99657,1.07374,0.000136707,0.000136707,0.000136707
38,4187.91,0.94421,0.81674,0.95233,0.78452,0.74179,0.72616,0.50639,1.05264,0.98392,1.07321,0.000127282,0.000127282,0.000127282
39,4284.1,0.9423,0.81562,0.96192,0.78462,0.73841,0.72709,0.50568,1.05943,0.98344,1.07352,0.000117858,0.000117858,0.000117858
40,4391.52,0.98005,0.85313,0.95671,0.77959,0.74222,0.72652,0.50833,1.05113,0.99173,1.07534,0.000108433,0.000108433,0.000108433
41,4488.19,0.94263,0.96768,0.96075,0.79172,0.73118,0.73024,0.509,1.0501,1.00935,1.07376,9.9008e-05,9.9008e-05,9.9008e-05
42,4585.03,0.9234,0.86821,0.94895,0.77631,0.72709,0.72516,0.50416,1.06205,1.03127,1.07232,8.95832e-05,8.95832e-05,8.95832e-05
43,4682.3,0.94427,0.86277,0.95899,0.76951,0.7425,0.72108,0.50032,1.08223,1.04125,1.07506,8.01584e-05,8.01584e-05,8.01584e-05
44,4775.61,0.98,0.89801,0.9677,0.74915,0.75256,0.71569,0.4955,1.06748,1.02785,1.07049,7.07336e-05,7.07336e-05,7.07336e-05
45,4876.35,0.94078,0.82997,0.94836,0.74684,0.75532,0.71856,0.49936,1.04789,1.0098,1.06446,6.13088e-05,6.13088e-05,6.13088e-05
46,4985.11,0.91755,0.81611,0.94103,0.7515,0.74234,0.71721,0.49875,1.04034,0.99301,1.06102,5.1884e-05,5.1884e-05,5.1884e-05
47,5098.47,0.93787,0.83395,0.95289,0.75828,0.73845,0.71809,0.49932,1.03513,0.98255,1.05972,4.24592e-05,4.24592e-05,4.24592e-05
48,5203.82,0.92868,0.80384,0.95001,0.77415,0.73379,0.7212,0.50373,1.03273,0.98458,1.05969,3.30344e-05,3.30344e-05,3.30344e-05
49,5315.04,0.91366,0.79042,0.95527,0.78074,0.73402,0.72107,0.50585,1.02911,0.98497,1.05836,2.36096e-05,2.36096e-05,2.36096e-05
50,5427.53,0.94567,0.80129,0.95572,0.78139,0.73394,0.72087,0.50762,1.02588,0.98617,1.05676,1.41848e-05,1.41848e-05,1.41848e-05
