epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8604,1.61516,3.62218,1.45397,0.00797,0.39444,0.09669,0.05645,1.51318,3.90986,1.33712,2.858e-05,2.858e-05,2.858e-05
2,43.3383,1.52236,3.51019,1.38671,0.01338,0.4746,0.19426,0.12767,1.42197,3.808,1.21573,7.00353e-05,7.00353e-05,7.00353e-05
3,56.2758,1.41334,3.16848,1.27038,0.01954,0.56032,0.33796,0.25956,1.31456,3.65256,1.12043,0.000109793,0.000109793,0.000109793
4,68.532,1.33044,2.77252,1.2025,0.01328,0.46627,0.33856,0.2628,1.29029,3.57923,1.09839,0.000147853,0.000147853,0.000147853
5,80.6354,1.32923,2.23854,1.21203,0.02649,0.64444,0.39969,0.292,1.30601,3.33992,1.10501,0.000184215,0.000184215,0.000184215
6,92.7538,1.22904,1.6345,1.16345,0.02752,0.66389,0.63305,0.39154,1.35562,3.11327,1.14671,0.00021888,0.00021888,0.00021888
7,104.929,1.28831,1.47114,1.14518,0.02791,0.66667,0.63846,0.35458,1.40276,2.93997,1.1848,0.000251847,0.000251847,0.000251847
8,117.114,1.20995,1.26704,1.19842,0.02965,0.73016,0.61094,0.34566,1.41342,2.9067,1.18673,0.000283116,0.000283116,0.000283116
9,129.197,1.21817,1.09626,1.20673,0.03317,0.84127,0.65554,0.4254,1.37861,2.86499,1.13989,0.000312688,0.000312688,0.000312688
10,141.547,1.18311,1.11479,1.22701,0.68674,0.45179,0.66014,0.43231,1.37462,2.80951,1.13922,0.000340562,0.000340562,0.000340562
11,153.97,1.30148,1.08077,1.19681,1,0.32013,0.70367,0.4527,1.36615,2.67226,1.11807,0.000366739,0.000366739,0.000366739
12,166.202,1.22985,0.98889,1.16052,0.97556,0.34363,0.71664,0.46427,1.36926,2.58716,1.11036,0.000391217,0.000391217,0.000391217
13,178.326,1.17467,0.96026,1.13747,0.99387,0.31111,0.72888,0.45651,1.40117,2.43865,1.16187,0.000413998,0.000413998,0.000413998
14,190.618,1.11837,0.90627,1.10384,0.9723,0.31111,0.75634,0.47316,1.38398,2.40164,1.1697,0.000435082,0.000435082,0.000435082
15,202.584,1.13629,0.89516,1.15349,0.87697,0.33857,0.9094,0.56116,1.3403,2.44979,1.10886,0.000454468,0.000454468,0.000454468
